,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
479,Camacha,33.08,-16.33,289.15,63,75,3.6
480,Karlovac,45.49,15.55,271.28,100,0,0.53
481,Morgan City,29.7,-91.21,286.81,100,1,1.5
482,Qui Nhon,13.77,109.23,298.57,67,49,2.77
483,Bonito,-21.12,-56.48,297.88,81,76,1.62
484,Salym,60.06,71.48,259.9,95,99,3.1
485,Adre,13.47,22.2,286.49,19,31,8.1
486,Santiago del Estero,-27.8,-64.26,301.51,63,89,2.09
487,Vila Velha,-20.33,-40.29,299.21,74,100,7.2
488,Alappuzha,9.49,76.33,296.46,64,0,0.9
489,Yendi,9.44,-0.01,300.83,50,41,1.85
490,Santa Lucia,27.91,-15.54,289.54,67,75,5.1
491,Areosa,41.72,-8.86,278.9,93,67,3.6
492,Marsh Harbour,26.54,-77.06,297.52,83,34,9.97
493,Grindavik,63.84,-22.43,269.15,85,75,3.6
494,Maceio,-9.67,-35.74,297.15,88,0,2.1
495,Anadyr,64.75,177.48,272.09,92,75,14.0
496,Jieshi,22.81,115.83,288.15,59,64,1.79
497,Mangrol,21.12,70.12,294.57,86,0,3.21
498,Kiruna,67.86,20.23,268.15,85,84,6.7
499,Jimma,7.67,36.83,288.0,87,87,0.62
500,Bac Lieu,9.29,105.72,302.46,59,64,3.32
501,Abha,18.22,42.51,276.67,59,1,3.6
502,Palotina,-24.28,-53.84,296.41,90,100,1.24
503,Dafeng,23.45,108.59,284.02,55,26,2.69
504,Khromtau,50.25,58.43,257.87,94,32,2.38
505,Shenzhen,22.55,114.07,290.34,51,89,6.0
506,Tulun,54.56,100.58,251.48,95,0,1.73
507,Sabang,5.89,95.32,300.95,75,56,3.72
508,Griffith,41.53,-87.42,271.75,93,90,5.1
509,Moose Factory,51.26,-80.61,248.15,83,90,2.6
510,Vung Tau,10.35,107.08,301.79,59,99,1.61
511,Rock Sound,24.9,-76.2,297.83,82,10,11.57
512,Wanaka,-44.7,169.15,284.8,55,8,5.32
513,Vallenar,-28.57,-70.76,289.01,66,0,0.96
514,Pouembout,-21.13,164.9,301.37,56,94,5.08
515,Russell,32.35,-85.2,290.94,88,90,5.1
516,Broken Hill,-31.95,141.43,298.15,23,0,7.7
517,Vestmanna,62.16,-7.17,276.15,64,93,5.1
518,Chernaya Kholunitsa,58.85,51.72,260.0,98,96,1.89
519,Lunenburg,44.38,-64.32,284.85,91,75,0.89
520,Jizan,17.33,42.67,291.15,55,20,2.44
521,Hualmay,-11.1,-77.61,291.65,90,10,0.83
522,Durusu,41.31,28.68,280.62,93,75,4.1
523,El Fuerte,26.42,-108.62,291.02,36,54,0.57
524,Teya,60.38,92.63,254.34,95,99,3.13
525,Luanda,-8.84,13.23,298.15,73,75,2.1
526,Nisia Floresta,-6.09,-35.21,297.15,88,40,2.1
527,Stephenville,32.22,-98.2,274.85,67,1,1.5
528,Kudahuvadhoo,2.67,72.89,301.45,75,44,6.84
529,Uusikaupunki,60.8,21.41,278.15,93,90,9.3
530,Poum,-20.23,164.02,299.11,79,100,11.42
531,Saint George,37.1,-113.58,273.88,73,1,2.1
532,Tuy Hoa,13.08,109.3,297.75,78,100,8.05
533,Jalu,29.03,21.55,282.76,53,12,3.32
534,Champerico,14.3,-91.92,297.85,79,0,2.84
535,Sambava,-14.27,50.17,294.03,87,52,1.16
536,Pangody,65.85,74.49,251.76,97,82,4.46
537,Alofi,-19.06,-169.92,302.15,70,91,5.1
538,Boa Vista,2.82,-60.67,299.15,65,13,6.2
539,Inhambane,-23.86,35.38,299.15,88,20,4.39
540,Cocobeach,1.0,9.58,298.15,94,20,0.5
541,Polunochnoye,60.87,60.42,262.37,88,97,1.93
542,Seoni Malwa,22.45,77.47,285.5,54,0,3.26
